file,player,build,Pylon 1,Pylon 2,Pylon 3,Pylon 4,Pylon 5,Gateway 1,Gateway 2,Gateway 3,Gateway 4,Gateway 5,Assimilator 1,Assimilator 2,Stargate 1,Stargate 2,Stargate 3,Stargate 4,Stargate 5,Forge 1,Citadel of Adun,Robotics Facility,Templar Archives,Robotics Support Bay,Photon Cannon 1,Photon Cannon 2,Photon Cannon 3,Photon Cannon 4,Photon Cannon 5,Observatory,Fleet Beacon,Arbiter Tribunal,Nexus 1,Nexus 2
kRs_tjbVCMbpr0nsT_XQI0CzTYS3g6Bn3HPoMhxOh_U.rep,[BWF]Sisqo,,1142,3057,5208,-1,-1,1750,-1,-1,-1,-1,3857,-1,-1,-1,-1,-1,-1,3369,-1,-1,-1,-1,4304,4773,6170,6380,6664,-1,-1,-1,-1,-1
lyo7XWtD1owfSyAWRBUR9fi0ZZjLEGvFUjT0LtXuxns.rep,richieha,,1111,1157,2944,3915,5822,1817,1823,1829,1855,2360,3747,-1,-1,-1,-1,-1,-1,6011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lyo7XWtD1owfSyAWRBUR9fi0ZZjLEGvFUjT0LtXuxns.rep,Gandalfin,,1139,1145,2939,2962,4264,1785,2423,5021,-1,-1,3658,-1,5766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MclK_wrs-9L5IY7tKID_l4SXBXAbStQ9FU4g_uN9VlM.rep,SpaceDominator,,1572,4568,5953,-1,-1,5412,5681,-1,-1,-1,4912,6169,-1,-1,-1,-1,-1,2116,-1,-1,-1,-1,2973,3183,4779,6785,-1,-1,-1,-1,4178,-1
MclK_wrs-9L5IY7tKID_l4SXBXAbStQ9FU4g_uN9VlM.rep,FBS,,1144,3396,3912,5997,6309,1841,4755,-1,-1,-1,2396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mlacZ7oxJfpebkEXrUaCv6xBU30VeN9h2uB-aIQZX_o.rep,성역의문지기,,1212,3424,4333,6657,-1,1762,2961,-1,-1,-1,2377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mlacZ7oxJfpebkEXrUaCv6xBU30VeN9h2uB-aIQZX_o.rep,커닝시티도적,,1057,3545,5968,6877,-1,1656,4571,-1,-1,-1,2964,3091,-1,-1,-1,-1,-1,6163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nO2PgP5bdAaZYihnmaoqaAY8egDuUsTdRmCkn6d-kNU.rep,Spicy,,1225,4708,-1,-1,-1,3385,3593,5445,-1,-1,5166,-1,-1,-1,-1,-1,-1,1913,-1,-1,-1,-1,2820,4049,6450,7030,-1,-1,-1,-1,4157,-1
nO2PgP5bdAaZYihnmaoqaAY8egDuUsTdRmCkn6d-kNU.rep,매너있는사람,,1226,2765,4380,-1,-1,1837,2337,6503,-1,-1,3684,3752,-1,-1,-1,-1,-1,5224,-1,-1,-1,-1,6619,-1,-1,-1,-1,-1,-1,-1,-1,-1
NS7pyKOOlN1bCNz3x7tESYLHLw9FHHyZAPPq1FAgL6k.rep,Spicy,,1236,5219,7124,-1,-1,4090,6606,-1,-1,-1,5020,6024,-1,-1,-1,-1,-1,1950,-1,-1,-1,-1,2824,4356,4784,-1,-1,-1,-1,-1,3504,-1
